                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.9956,                0.57997,                 1.0916,                0.90114,                0.89172,                0.90979,                0.51099,                 1.5458,                0.74069,                 1.4964,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0286,                0.58428,                  1.088,                0.89459,                0.92251,                 0.9517,                 0.5387,                 1.5157,                0.68281,                  1.459,               0.000614,               0.000614,               0.000614
                     72,                 0.9742,                0.56882,                 1.0683,                0.88632,                0.93225,                0.94052,                0.53197,                  1.519,                0.73151,                 1.4541,              0.0005942,              0.0005942,              0.0005942
                     73,                0.97677,                0.55506,                 1.0881,                0.93062,                0.91304,                0.93534,                0.52227,                 1.4897,                0.70487,                 1.4714,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0007,                 0.5518,                 1.0748,                0.97063,                0.92391,                0.94719,                0.51103,                 1.5113,                0.69291,                 1.4903,              0.0005546,              0.0005546,              0.0005546
                     75,                0.96437,                0.55673,                 1.0666,                0.96495,                0.89789,                0.92376,                0.51587,                 1.5088,                0.69626,                  1.495,              0.0005348,              0.0005348,              0.0005348
                     76,                0.95277,                0.53452,                 1.0578,                0.89906,                0.91304,                0.93114,                0.52122,                 1.5187,                0.71683,                 1.4586,               0.000515,               0.000515,               0.000515
                     77,                0.96433,                0.52752,                 1.0685,                0.93324,                 0.8913,                0.93732,                0.54516,                  1.476,                0.68462,                 1.4362,              0.0004952,              0.0004952,              0.0004952
                     78,                0.97131,                 0.5375,                 1.0773,                0.95354,                0.90217,                0.94247,                0.55129,                 1.4293,                0.66676,                 1.4371,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.9271,                0.53136,                 1.0532,                0.97712,                0.92391,                0.96923,                0.55258,                  1.413,                0.64679,                 1.4227,              0.0004556,              0.0004556,              0.0004556
                     80,                0.93302,                0.52248,                 1.0433,                  0.943,                0.89914,                 0.9367,                0.53811,                 1.4724,                0.69534,                 1.4738,              0.0004358,              0.0004358,              0.0004358
                     81,                0.95667,                0.56802,                 1.0425,                0.98786,                0.88435,                0.95174,                0.53781,                  1.466,                  0.666,                 1.4433,               0.000416,               0.000416,               0.000416
                     82,                0.91977,                0.52863,                 1.0598,                0.95501,                0.92287,                0.96995,                0.54735,                 1.4321,                 0.6647,                 1.4421,              0.0003962,              0.0003962,              0.0003962
                     83,                0.93186,                 0.5312,                 1.0536,                0.96966,                 0.8913,                0.94965,                 0.5405,                 1.4631,                0.66532,                 1.4716,              0.0003764,              0.0003764,              0.0003764
                     84,                0.90733,                0.51601,                 1.0406,                 0.9391,                0.83801,                0.91778,                0.52055,                 1.5065,                0.68551,                 1.5107,              0.0003566,              0.0003566,              0.0003566
                     85,                0.88368,                0.52233,                 1.0344,                0.95177,                0.85793,                 0.9141,                0.52515,                 1.5079,                0.68217,                 1.5345,              0.0003368,              0.0003368,              0.0003368
                     86,                0.86324,                0.50149,                 1.0188,                0.98284,                0.88043,                0.93567,                0.52931,                 1.4709,                0.69154,                 1.4901,               0.000317,               0.000317,               0.000317
                     87,                 0.8931,                 0.5185,                 1.0436,                 0.9878,                0.88003,                0.93691,                0.53082,                 1.4717,                0.66501,                 1.4791,              0.0002972,              0.0002972,              0.0002972
                     88,                0.88617,                0.51199,                 1.0342,                0.93277,                 0.8587,                0.89043,                0.53842,                 1.4833,                0.66441,                 1.5145,              0.0002774,              0.0002774,              0.0002774
                     89,                0.86613,                0.48991,                 1.0346,                0.96503,                0.89979,                0.93056,                0.54466,                 1.4864,                0.65251,                 1.5119,              0.0002576,              0.0002576,              0.0002576
                     90,                0.87779,                0.50716,                 1.0249,                0.95988,                0.88043,                0.92232,                0.53881,                 1.4688,                0.64316,                 1.5229,              0.0002378,              0.0002378,              0.0002378
                     91,                0.87634,                0.48561,                 1.0416,                0.93957,                0.86957,                0.90782,                0.53719,                 1.4759,                0.64941,                  1.533,               0.000218,               0.000218,               0.000218
                     92,                0.85425,                0.45806,                 1.0069,                0.95148,                 0.8913,                0.93019,                0.54795,                 1.4765,                0.64388,                 1.4935,              0.0001982,              0.0001982,              0.0001982
                     93,                0.82986,                0.46108,                0.99796,                0.95047,                 0.8913,                0.92901,                0.54687,                   1.47,                 0.6487,                 1.5169,              0.0001784,              0.0001784,              0.0001784
                     94,                0.82704,                0.45656,                0.99587,                0.96508,                0.90109,                0.95235,                0.55131,                 1.4974,                0.64872,                 1.5091,              0.0001586,              0.0001586,              0.0001586
                     95,                0.83406,                0.44407,                0.99297,                0.95642,                0.90217,                0.94978,                0.54785,                  1.501,                0.65854,                 1.4952,              0.0001388,              0.0001388,              0.0001388
                     96,                0.82718,                0.43685,                 1.0103,                0.91694,                 0.8913,                0.91574,                0.54856,                 1.4853,                0.65634,                 1.4944,               0.000119,               0.000119,               0.000119
                     97,                0.81089,                 0.4349,                0.98711,                0.95093,                0.90217,                0.93165,                0.53973,                 1.4781,                0.64622,                  1.504,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.79533,                0.43282,                0.97976,                0.95402,                0.90203,                0.93032,                0.54186,                 1.4794,                0.64602,                 1.5072,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.79198,                0.43177,                0.97857,                0.95397,                0.90118,                0.92986,                0.54465,                 1.4816,                0.64011,                 1.5084,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.81475,                0.43394,                 1.0033,                0.96506,                0.90063,                0.93031,                0.54371,                 1.4784,                0.63616,                 1.5082,               3.98e-05,               3.98e-05,               3.98e-05
